file,Soil ochre weight /g,wavelength,absorbance,date,phosphorous_loading_conc,repeat_no,p_level,iron_ochre_amendement_percent,p_adjust,PO4mgL,PO4_removed ,mass_normalised,PO4_removed_p,normal_percent
310825-0%-0mg-1.txt,2.0031,880,0.123350389,310825,0,1,0.031716131,0,0.031716131,0.123350389,-0.123350389,NA,NA,NA
310825-0%-0mg-2.txt,2.0053,880,0.108507032,310825,0,2,0.021738427,0,0.021738427,0.108507032,-0.108507032,NA,NA,NA
310825-0%-0mg-3.txt,2.0089,880,0.132777151,310825,0,3,0.038052801,0,0.038052801,0.132777151,-0.132777151,NA,NA,NA
010925-0%-5mg-1.txt,2.003,880,0.132131589,10925,5,1,0.037618854,0,0.376188544,0.635805629,4.364194371,0.004357658,87.28388743,87.15315768
010925-0%-5mg-2.txt,2.002,880,0.075025503,10925,5,2,-0.000767857,0,-0.007678568,0.064744766,4.935255234,0.004930325,98.70510468,98.60649818
010925-0%-5mg-3.txt,2.003,880,0.076392611,10925,5,3,0.000151113,0,0.001511133,0.078415848,4.921584152,0.004914213,98.43168304,98.28425666
010925-0%-10mg-1.txt,2.0047,880,0.312338962,10925,10,1,0.158754251,0,1.587542506,2.43787936,7.56212064,0.007544391,75.6212064,75.4439132
010925-0%-10mg-2.txt,1.9998,880,0.272352588,10925,10,2,0.13187541,0,1.3187541,2.03801562,7.96198438,0.007962781,79.6198438,79.62780658
010925-0%-10mg-3.txt,1.9978,880,0.314031676,10925,10,3,0.159892093,0,1.598920925,2.454806494,7.545193506,0.007553502,75.45193506,75.53502359
010925-0%-20mg-1.txt,2.0059,880,0.333719861,10925,20,1,0.173126491,0,3.462529813,5.227208886,14.77279111,0.01472934,73.86395557,73.64669779
010925-0%-20mg-2.txt,2.0034,880,0.354808639,10925,20,2,0.187302367,0,3.746047336,5.648984433,14.35101557,0.01432666,71.75507783,71.63330124
010925-0%-20mg-3.txt,2.0005,880,0.317767507,10925,20,3,0.162403318,0,3.248066363,4.908161802,15.0918382,0.015088066,75.45919099,75.44033092
010925-0%-40mg-1.txt,2.0068,880,0.293232332,10925,40,1,0.145910774,0,5.836430943,8.758748799,31.2412512,0.031135391,78.103128,77.83847718
010925-0%-40mg-2.txt,2.0025,880,0.305435749,10925,40,2,0.154113911,0,6.164556431,9.246885497,30.7531145,0.030714721,76.88278626,76.78680275
010925-0%-40mg-3.txt,2.0089,880,0.29442931,10925,40,3,0.146715382,0,5.868615276,8.806627903,31.1933721,0.031055177,77.98343024,77.63794141
010925-0.5%-0mg-1.txt,2.0064,880,0.064098762,10925,0,1,-0.008112812,0.5,-0.008112812,0.064098762,-0.064098762,NA,NA,NA
010925-0.5%-0mg-2.txt,2.0091,880,0.063201615,10925,0,2,-0.008715875,0.5,-0.008715875,0.063201615,-0.063201615,NA,NA,NA
010925-0.5%-0mg-3.txt,2.0009,880,0.090095595,10925,0,3,0.009362259,0.5,0.009362259,0.090095595,-0.090095595,NA,NA,NA
010925-0.5%-5mg-1.txt,2.0082,880,0.104671946,10925,5,1,0.019160482,0.5,0.191604818,0.361209191,4.638790809,0.004619849,92.77581617,92.39698853
010925-0.5%-5mg-2.txt,2.0028,880,0.116958611,10925,5,2,0.027419578,0.5,0.274195783,0.484075844,4.515924156,0.004509611,90.31848311,90.19221402
010925-0.5%-5mg-3.txt,1.993,880,0.103257428,10925,5,3,0.018209643,0.5,0.182096432,0.347064017,4.652935983,0.004669278,93.05871966,93.38556915
010925-0.5%-10mg-1.txt,1.9989,880,0.274648013,10925,10,1,0.133418395,0.5,1.334183946,2.060969869,7.939030131,0.007943399,79.39030131,79.43399
010925-0.5%-10mg-2.txt,2.0015,880,0.283375363,10925,10,2,0.139284919,0.5,1.392849191,2.148243367,7.851756633,0.007845872,78.51756633,78.45872229
010925-0.5%-10mg-3.txt,2.0026,880,0.252804121,10925,10,3,0.11873493,0.5,1.1873493,1.842530944,8.157469056,0.008146878,81.57469056,81.46878114
010925-0.5%-20mg-1.txt,2.0081,880,0.341744967,10925,20,1,0.178520967,0.5,3.570419333,5.387710998,14.612289,0.014553348,73.06144501,72.7667397
010925-0.5%-20mg-2.txt,1.999,880,0.233103303,10925,20,2,0.10549204,0.5,2.109840805,3.214877722,16.78512228,0.016793519,83.92561139,83.9675952
010925-0.5%-20mg-3.txt,2.0032,880,0.335324432,10925,20,3,0.174205083,0.5,3.484101667,5.259300307,14.74069969,0.014717152,73.70349846,73.58576123
010925-0.5%-40mg-1.txt,2.0039,880,0.308269337,10925,40,1,0.156018648,0.5,6.24074592,9.36022898,30.63977102,0.03058014,76.59942755,76.45034937
010925-0.5%-40mg-2.txt,2.0054,880,0.316562008,10925,40,2,0.161592982,0.5,6.463719261,9.691935824,30.30806418,0.030226453,75.77016044,75.56613189
010925-0.5%-40mg-3.txt,2.0068,880,0.326632124,10925,40,3,0.168362114,0.5,6.734484556,10.09474049,29.90525951,0.029803926,74.76314878,74.5098154
010925-1%-0mg-1.txt,2.0068,880,0.054406695,10925,0,1,-0.01462782,1,-0.01462782,0.054406695,-0.054406695,NA,NA,NA
010925-1%-0mg-2.txt,2.0071,880,0.049428784,10925,0,2,-0.017973971,1,-0.017973971,0.049428784,-0.049428784,NA,NA,NA
010925-1%-0mg-3.txt,2.0004,880,0.043702919,10925,0,3,-0.021822898,1,-0.021822898,0.043702919,-0.043702919,NA,NA,NA
010925-1%-5mg-1.txt,2.0049,880,0.07642915,10925,5,1,0.000175674,1,0.001756744,0.078781232,4.921218768,0.004909191,98.42437536,98.18382499
010925-1%-5mg-2.txt,2.0012,880,0.067038,10925,5,2,-0.006137056,1,-0.061370563,-0.015130263,5.015130263,0.005012123,100.3026053,100.2424598
010925-1%-5mg-3.txt,2.0048,880,0.082056055,10925,5,3,0.00395808,1,0.039580798,0.13505028,4.86494972,0.004853302,97.29899439,97.06603591
010925-1%-10mg-1.txt,2.001,880,0.215224111,10925,10,1,0.093473647,1,0.934736473,1.466730843,8.533269157,0.008529005,85.33269157,85.29004655
010925-1%-10mg-2.txt,1.9941,880,0.247194015,10925,10,2,0.114963817,1,1.149638172,1.78642989,8.21357011,0.008237872,82.1357011,82.37871832
010925-1%-10mg-3.txt,2.0031,880,0.260136649,10925,10,3,0.123663855,1,1.236638554,1.915856225,8.084143775,0.008071633,80.84143775,80.71632744
010925-1%-20mg-1.txt,1.9978,880,0.340154863,10925,20,1,0.177452099,1,3.549041984,5.355908932,14.64409107,0.014660217,73.22045534,73.30108655
010925-1%-20mg-2.txt,2.0058,880,0.302125788,10925,20,2,0.151888955,1,3.037779096,4.595327427,15.40467257,0.015360128,77.02336287,76.80064099
